GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0038095,Fc-epsilon receptor signaling pathway,5,3,0.55,0.0020
GO:0008543,fibroblast growth factor receptor signal...,2,2,0.22,0.0037
GO:0031532,actin cytoskeleton reorganization,4,3,0.44,0.0101
GO:0022617,extracellular matrix disassembly,5,3,0.55,0.0194
GO:0002576,platelet degranulation,4,2,0.44,0.0203
GO:0030574,collagen catabolic process,4,2,0.44,0.0203
GO:0043113,receptor clustering,4,2,0.44,0.0203
GO:0019048,modulation by virus of host morphology o...,11,3,1.2,0.0249
GO:0045454,cell redox homeostasis,5,2,0.55,0.0325
GO:0045087,innate immune response,24,5,2.63,0.0370
