GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0030049,muscle filament sliding,2,2,0.14,0.0015
GO:0035335,peptidyl-tyrosine dephosphorylation,3,2,0.2,0.0045
GO:0031175,neuron projection development,35,4,2.39,0.0082
GO:0007275,multicellular organism development,148,11,10.11,0.0129
GO:0006120,"mitochondrial electron transport, NADH t...",7,2,0.48,0.0284
GO:0043043,peptide biosynthetic process,12,2,0.82,0.0390
GO:0051647,nucleus localization,1,1,0.07,0.0398
GO:2000651,positive regulation of sodium ion transm...,1,1,0.07,0.0398
GO:0007512,adult heart development,1,1,0.07,0.0398
GO:0060487,lung epithelial cell differentiation,1,1,0.07,0.0398
