GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0006521,regulation of cellular amino acid metabo...,1,1,0.03,0.022
GO:0045662,negative regulation of myoblast differen...,1,1,0.03,0.022
GO:0006384,transcription initiation from RNA polyme...,1,1,0.03,0.022
GO:0010025,wax biosynthetic process,1,1,0.03,0.022
GO:0061153,trachea gland development,1,1,0.03,0.022
GO:0060662,salivary gland cavitation,1,1,0.03,0.022
GO:0009303,rRNA transcription,1,1,0.03,0.022
GO:0009304,tRNA transcription,1,1,0.03,0.022
GO:0090261,positive regulation of inclusion body as...,1,1,0.03,0.022
GO:0090263,positive regulation of canonical Wnt sig...,1,1,0.03,0.022
