GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0051496,positive regulation of stress fiber asse...,2,2,0.16,0.0021
GO:0033148,positive regulation of intracellular est...,2,2,0.16,0.0021
GO:0006333,chromatin assembly or disassembly,10,3,0.8,0.0060
GO:0072177,mesonephric duct development,3,2,0.24,0.0062
GO:0030308,negative regulation of cell growth,11,3,0.87,0.0121
GO:0030336,negative regulation of cell migration,12,3,0.95,0.0156
GO:0050852,T cell receptor signaling pathway,5,2,0.4,0.0194
GO:0050821,protein stabilization,5,2,0.4,0.0194
GO:0002479,antigen processing and presentation of e...,6,2,0.48,0.0283
GO:0038095,Fc-epsilon receptor signaling pathway,7,2,0.56,0.0384
