GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0007190,activation of adenylate cyclase activity,2,2,0.09,0.00095
GO:0001958,endochondral ossification,4,2,0.19,0.00551
GO:0050796,regulation of insulin secretion,4,2,0.19,0.00551
GO:0043066,negative regulation of apoptotic process,15,3,0.7,0.00969
GO:0006112,energy reserve metabolic process,6,2,0.28,0.01327
GO:0034641,cellular nitrogen compound metabolic pro...,163,9,7.62,0.02517
GO:0007565,female pregnancy,6,3,0.28,0.02862
GO:0030316,osteoclast differentiation,2,2,0.09,0.03010
GO:0019933,cAMP-mediated signaling,3,2,0.14,0.03015
GO:0055072,iron ion homeostasis,4,2,0.19,0.03020
