GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0030501,positive regulation of bone mineralizati...,2,2,0.13,0.002
GO:0001707,mesoderm formation,2,2,0.13,0.002
GO:0030155,regulation of cell adhesion,15,6,0.98,0.038
GO:0007159,leukocyte cell-cell adhesion,8,3,0.52,0.042
GO:0030336,negative regulation of cell migration,10,3,0.65,0.043
GO:0031124,mRNA 3'-end processing,2,2,0.13,0.043
GO:2000401,regulation of lymphocyte migration,2,2,0.13,0.043
GO:0010812,negative regulation of cell-substrate ad...,2,2,0.13,0.043
GO:0030509,BMP signaling pathway,2,2,0.13,0.043
GO:0048678,response to axon injury,2,2,0.13,0.043
