GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0007156,homophilic cell adhesion via plasma memb...,8,2,0.21,0.0067
GO:0040032,post-embryonic body morphogenesis,1,1,0.03,0.0167
GO:0071380,cellular response to prostaglandin E sti...,1,1,0.03,0.0167
GO:0071377,cellular response to glucagon stimulus,1,1,0.03,0.0167
GO:0071870,cellular response to catecholamine stimu...,1,1,0.03,0.0167
GO:0007191,adenylate cyclase-activating dopamine re...,1,1,0.03,0.0167
GO:0045672,positive regulation of osteoclast differ...,1,1,0.03,0.0167
GO:0035116,embryonic hindlimb morphogenesis,1,1,0.03,0.0167
GO:0060152,microtubule-based peroxisome localizatio...,1,1,0.03,0.0167
GO:0006171,cAMP biosynthetic process,1,1,0.03,0.0167
