GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0016266,O-glycan processing,4,2,0.27,0.0056
GO:0050885,neuromuscular process controlling balanc...,5,2,0.33,0.0091
GO:1900181,negative regulation of protein localizat...,4,2,0.27,0.0310
GO:0030705,cytoskeleton-dependent intracellular tra...,9,2,0.6,0.0310
GO:0008045,motor neuron axon guidance,1,1,0.07,0.0315
GO:0042245,RNA repair,1,1,0.07,0.0315
GO:0015747,urate transport,1,1,0.07,0.0315
GO:0034063,stress granule assembly,1,1,0.07,0.0315
GO:0019885,antigen processing and presentation of e...,1,1,0.07,0.0315
GO:0006982,response to lipid hydroperoxide,1,1,0.07,0.0315
