GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0006120,"mitochondrial electron transport, NADH t...",7,3,0.51,0.002
GO:0043523,regulation of neuron apoptotic process,6,2,0.44,0.023
GO:0019048,modulation by virus of host morphology o...,8,2,0.59,0.040
GO:0051924,regulation of calcium ion transport,5,2,0.37,0.040
GO:0043043,peptide biosynthetic process,10,2,0.73,0.041
GO:0043031,negative regulation of macrophage activa...,1,1,0.07,0.042
GO:0007229,integrin-mediated signaling pathway,1,1,0.07,0.042
GO:0060487,lung epithelial cell differentiation,1,1,0.07,0.042
GO:0033137,negative regulation of peptidyl-serine p...,1,1,0.07,0.042
GO:0051865,protein autoubiquitination,1,1,0.07,0.042
