GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0006112,energy reserve metabolic process,20,7,2.28,0.0013
GO:0048266,behavioral response to pain,5,3,0.57,0.0024
GO:0045672,positive regulation of osteoclast differ...,2,2,0.23,0.0042
GO:0010940,positive regulation of necrotic cell dea...,2,2,0.23,0.0042
GO:0051497,negative regulation of stress fiber asse...,2,2,0.23,0.0042
GO:0051056,regulation of small GTPase mediated sign...,39,7,4.44,0.0045
GO:2000134,negative regulation of G1/S transition o...,13,4,1.48,0.0118
GO:0019933,cAMP-mediated signaling,8,3,0.91,0.0119
GO:0071294,cellular response to zinc ion,3,2,0.34,0.0121
GO:0048873,homeostasis of number of cells within a ...,3,2,0.34,0.0121
