GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0042177,negative regulation of protein catabolic...,1,1,0.03,0.020
GO:0051764,actin crosslink formation,1,1,0.03,0.020
GO:0007195,adenylate cyclase-inhibiting dopamine re...,1,1,0.03,0.020
GO:0007196,adenylate cyclase-inhibiting G protein-c...,1,1,0.03,0.020
GO:0045022,early endosome to late endosome transpor...,1,1,0.03,0.020
GO:0051220,cytoplasmic sequestering of protein,1,1,0.03,0.020
GO:0042789,mRNA transcription by RNA polymerase II,1,1,0.03,0.020
GO:0021997,neural plate axis specification,1,1,0.03,0.020
GO:1901687,glutathione derivative biosynthetic proc...,1,1,0.03,0.020
GO:0007411,axon guidance,12,2,0.4,0.022
