GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0008360,regulation of cell shape,3,2,0.2,0.0045
GO:0046677,response to antibiotic,6,3,0.39,0.0132
GO:0006091,generation of precursor metabolites and ...,28,3,1.82,0.0142
GO:0006397,mRNA processing,15,3,0.98,0.0188
GO:0006413,translational initiation,3,3,0.2,0.0369
GO:0045738,negative regulation of DNA repair,1,1,0.07,0.0401
GO:0038110,interleukin-2-mediated signaling pathway,1,1,0.07,0.0401
GO:0071529,cementum mineralization,1,1,0.07,0.0401
GO:0038111,interleukin-7-mediated signaling pathway,1,1,0.07,0.0401
GO:2000785,regulation of autophagosome assembly,1,1,0.07,0.0401
