GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0008219,cell death,184,29,29.93,2.3e-06
GO:0008150,biological_process,1329,166,216.21,3.8e-05
GO:0006355,"regulation of transcription, DNA-templat...",288,39,46.85,0.00034
GO:0051402,neuron apoptotic process,29,5,4.72,0.00269
GO:0007268,chemical synaptic transmission,71,14,11.55,0.00779
GO:0034501,protein localization to kinetochore,2,2,0.33,0.00806
GO:0021554,optic nerve development,2,2,0.33,0.00806
GO:0032463,negative regulation of protein homooligo...,2,2,0.33,0.00806
GO:0007080,mitotic metaphase plate congression,2,2,0.33,0.00806
GO:0015701,bicarbonate transport,2,2,0.33,0.00806
