GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0055085,transmembrane transport,47,4,2.67,0.030
GO:0006281,DNA repair,23,4,1.31,0.036
GO:0007156,homophilic cell adhesion via plasma memb...,8,2,0.46,0.039
GO:0001503,ossification,11,2,0.63,0.040
GO:0034660,ncRNA metabolic process,17,2,0.97,0.041
GO:0032786,positive regulation of DNA-templated tra...,1,1,0.06,0.041
GO:0046475,glycerophospholipid catabolic process,1,1,0.06,0.041
GO:0048597,post-embryonic camera-type eye morphogen...,1,1,0.06,0.041
GO:0007567,parturition,1,1,0.06,0.041
GO:2000065,negative regulation of cortisol biosynth...,1,1,0.06,0.041
